esh;vaestomuutoslk
1407;nopmen
1205.2;nopmen
1401.8;nopmen
1101.1;men
1176.7;men
1237.7;kasv
1174.8;men
1788.6;nopmen
1613.4;men
952.8;nopkas
1262.7;nopmen
1163.2;kasv
1550.7;nopmen
1601.9;men
1373.4;nopmen
1289.8;nopmen
1607.8;men
1418.9;nopmen
1266.4;men
1413.4;nopmen
1448;nopmen
1622.4;nopmen
1332;nopmen
1139.3;men
1169.8;men
1628.1;nopmen
1082.7;nopkas
1027.8;nopkas
1660.3;nopmen
1151;men
1309.7;nopmen
1366.3;men
1719.5;nopmen
2154.4;nopmen
1262.3;kasv
1188.8;men
1303.9;men
1307;nopmen
1191.7;kasv
1253.2;men
1352.7;men
1353.4;men
1307.6;kasv
1335.2;nopmen
1370.6;kasv
1330.9;men
1391.2;nopmen
1261.5;nopmen
1267.1;men
1213.1;men
1236.1;kasv
1287.4;nopmen
1353.9;nopmen
1277.1;nopmen
1183.3;nopmen
1486.7;nopmen
1439.8;nopmen
1030;kasv
1150.4;nopmen
1218;nopmen
1204.4;nopkas
1243.5;nopkas
1668.2;nopmen
1727.8;men
1248;men
1152.3;kasv
1495.8;nopmen
1285.9;men
1218;nopmen
1161.6;men
1521.2;nopmen
1235.9;men
1120.3;nopmen
1274.5;nopmen
1631.5;nopmen
1432.7;men
1430.8;nopmen
957.2;nopkas
1236.6;men
1488.4;nopmen
1902.3;nopmen
1658.8;men
1072.5;nopkas
1084.7;kasv
1228.9;nopmen
1258.6;nopmen
1396.3;nopmen
981;kasv
1392.7;nopmen
1443.1;men
1294.9;nopmen
1039.9;nopmen
1322.9;nopmen
1312.5;kasv
1305.7;men
1184.6;nopmen
1064.4;kasv
1205.9;men
1408.1;men
1422;men
1412.8;men
1345.1;nopmen
1213.7;men
2040;nopmen
1463.8;nopmen
1482.9;kasv
1327.8;nopmen
1397.3;nopmen
1668.5;nopkas
1150.9;men
1273.3;nopmen
1377.5;nopmen
1138.2;nopmen
1236.9;men
1512.1;nopmen
1364.8;men
1182.1;kasv
1291.4;kasv
1182.1;kasv
1394.8;nopmen
1422.4;nopmen
1449;kasv
1236;nopmen
1343.9;men
1086.9;kasv
1155.4;men
1121.3;nopkas
1470.8;nopmen
1689.3;nopmen
1217.9;nopmen
1121.3;kasv
924.5;nopkas
1154.2;men
1455;men
1323.8;nopmen
1387.5;men
1169.7;nopmen
888.4;men
964.4;nopkas
1653.2;nopmen
1290.7;men
1249.4;men
1352.4;men
1174.4;men
1141.9;men
1414.9;men
1418.9;men
1338.7;nopmen
1494.3;men
1324.5;men
1217.8;nopmen
1493.7;men
1222.9;kasv
1021.8;nopkas
1339.7;men
1291.9;men
1153.1;kasv
1575.5;nopmen
1623.4;nopmen
1203.1;kasv
1377.4;men
1185.9;men
1201.7;kasv
1174.5;men
1031.8;noptaan
1084.4;kasv
1292.7;kasv
1157.2;men
1595.3;men
1461.3;men
1287.8;men
1228.3;kasv
1285.5;nopmen
1199.5;kasv
2227.2;nopmen
1523.8;nopmen
1222.8;nopmen
1365.8;men
1111.2;men
1580.3;nopmen
1146.7;nopmen
1340.3;nopmen
1438.2;nopmen
1345.8;men
1405;kasv
1189.5;nopmen
1013.2;nopkas
1338.8;nopmen
1276.8;nopmen
1388.7;men
1050.9;men
1750.7;nopmen
1490;nopmen
1146.9;nopmen
1486.2;nopmen
1963.4;nopmen
1532.5;nopmen
1521.7;men
1207.6;nopmen
1517.3;nopmen
1099.6;kasv
1414.7;nopmen
1442.8;men
1262;men
1149.6;kasv
1265.8;men
1214.1;men
1357.4;nopmen
1305.2;nopmen
1291.9;men
1510.6;nopmen
1731.7;nopmen
1449.8;nopmen
1303.3;nopmen
1246.2;men
2430.1;nopmen
1590.3;kasv
1335.6;nopmen
1512.7;nopmen
1065.7;kasv
1439.2;nopmen
1474.1;men
1055.4;nopmen
1869.1;nopmen
1360.8;men
1175.4;men
1439.8;nopmen
1749;nopmen
1397;nopmen
1332;kasv
1167.9;men
1300.4;nopmen
1245.8;nopmen
1334;kasv
1778.7;nopmen
1017.1;nopkas
1165.3;men
1393.3;men
1290.6;nopmen
1437.7;men
1359.2;nopmen
1686.4;men
1819.8;nopmen
1822.1;nopmen
1503.4;men
1568.6;nopmen
1243.9;nopmen
1850.1;nopmen
1380;men
1517.4;nopmen
1280.2;men
1420.7;nopmen
1613.7;men
1477.2;nopmen
1383.7;nopkas
1432.7;nopmen
1656.1;nopmen
1387.9;nopmen
1218.7;nopmen
1392.7;nopmen
1072.7;men
1497.3;men
1443.8;kasv
1692;nopmen
1702.5;nopmen
1102.3;kasv
1164;kasv
1376.9;men
1428.2;nopmen
1342;nopmen
1301.9;men
1099.9;nopkas
1014;men
1392.9;kasv
1311.1;kasv
1439.5;kasv
1172.2;noptaan
1477.1;nopmen
1695.4;men
1675.4;nopmen
1201.7;men
1238.2;nopmen
1200.8;nopmen
1139.8;kasv
1150.5;nopmen
1353.3;nopmen
1258.1;nopmen
1464.6;nopmen
1149.1;men
1674;nopmen
1212.3;kasv
999.4;kasv
1369.5;nopmen
1628.3;nopmen
1149.2;nopmen
