Erikoissairaanhoidon nettokäyttökustannukset, euroa / asukas;Väestönmuutoslk
1407;Väestöään nopeasti menettävä
1205,2;Väestöään nopeasti menettävä
1401,8;Väestöään nopeasti menettävä
1101,1;Väestöään menettävä
1176,7;Väestöään menettävä
1237,7;Kasvava
1174,8;Väestöään menettävä
1788,6;Väestöään nopeasti menettävä
1613,4;Väestöään menettävä
952,8;Nopeasti kasvava
1262,7;Väestöään nopeasti menettävä
1163,2;Kasvava
1550,7;Väestöään nopeasti menettävä
1601,9;Väestöään menettävä
1373,4;Väestöään nopeasti menettävä
1289,8;Väestöään nopeasti menettävä
1607,8;Väestöään menettävä
1418,9;Väestöään nopeasti menettävä
1266,4;Väestöään menettävä
1413,4;Väestöään nopeasti menettävä
1448;Väestöään nopeasti menettävä
1622,4;Väestöään nopeasti menettävä
1332;Väestöään nopeasti menettävä
1139,3;Väestöään menettävä
1169,8;Väestöään menettävä
1628,1;Väestöään nopeasti menettävä
1082,7;Nopeasti kasvava
1027,8;Nopeasti kasvava
1660,3;Väestöään nopeasti menettävä
1151;Väestöään menettävä
1309,7;Väestöään nopeasti menettävä
1366,3;Väestöään menettävä
1719,5;Väestöään nopeasti menettävä
2154,4;Väestöään nopeasti menettävä
1262,3;Kasvava
1188,8;Väestöään menettävä
1303,9;Väestöään menettävä
1307;Väestöään nopeasti menettävä
1191,7;Kasvava
1253,2;Väestöään menettävä
1352,7;Väestöään menettävä
1353,4;Väestöään menettävä
1307,6;Kasvava
1335,2;Väestöään nopeasti menettävä
1370,6;Kasvava
1330,9;Väestöään menettävä
1391,2;Väestöään nopeasti menettävä
1261,5;Väestöään nopeasti menettävä
1267,1;Väestöään menettävä
1213,1;Väestöään menettävä
1236,1;Kasvava
1287,4;Väestöään nopeasti menettävä
1353,9;Väestöään nopeasti menettävä
1277,1;Väestöään nopeasti menettävä
1183,3;Väestöään nopeasti menettävä
1486,7;Väestöään nopeasti menettävä
1439,8;Väestöään nopeasti menettävä
1030;Kasvava
1150,4;Väestöään nopeasti menettävä
1218;Väestöään nopeasti menettävä
1204,4;Nopeasti kasvava
1243,5;Nopeasti kasvava
1668,2;Väestöään nopeasti menettävä
1727,8;Väestöään menettävä
1248;Väestöään menettävä
1152,3;Kasvava
1495,8;Väestöään nopeasti menettävä
1285,9;Väestöään menettävä
1218;Väestöään nopeasti menettävä
1161,6;Väestöään menettävä
1521,2;Väestöään nopeasti menettävä
1235,9;Väestöään menettävä
1120,3;Väestöään nopeasti menettävä
1274,5;Väestöään nopeasti menettävä
1631,5;Väestöään nopeasti menettävä
1432,7;Väestöään menettävä
1430,8;Väestöään nopeasti menettävä
957,2;Nopeasti kasvava
1236,6;Väestöään menettävä
1488,4;Väestöään nopeasti menettävä
1902,3;Väestöään nopeasti menettävä
1658,8;Väestöään menettävä
1072,5;Nopeasti kasvava
1084,7;Kasvava
1228,9;Väestöään nopeasti menettävä
1258,6;Väestöään nopeasti menettävä
1396,3;Väestöään nopeasti menettävä
981;Kasvava
1392,7;Väestöään nopeasti menettävä
1443,1;Väestöään menettävä
1294,9;Väestöään nopeasti menettävä
1039,9;Väestöään nopeasti menettävä
1322,9;Väestöään nopeasti menettävä
1312,5;Kasvava
1305,7;Väestöään menettävä
1184,6;Väestöään nopeasti menettävä
1064,4;Kasvava
1205,9;Väestöään menettävä
1408,1;Väestöään menettävä
1422;Väestöään menettävä
1412,8;Väestöään menettävä
1345,1;Väestöään nopeasti menettävä
1213,7;Väestöään menettävä
2040;Väestöään nopeasti menettävä
1463,8;Väestöään nopeasti menettävä
1482,9;Kasvava
1327,8;Väestöään nopeasti menettävä
1397,3;Väestöään nopeasti menettävä
1668,5;Nopeasti kasvava
1150,9;Väestöään menettävä
1273,3;Väestöään nopeasti menettävä
1377,5;Väestöään nopeasti menettävä
1138,2;Väestöään nopeasti menettävä
1236,9;Väestöään menettävä
1512,1;Väestöään nopeasti menettävä
1364,8;Väestöään menettävä
1182,1;Kasvava
1291,4;Kasvava
1182,1;Kasvava
1394,8;Väestöään nopeasti menettävä
1422,4;Väestöään nopeasti menettävä
1449;Kasvava
1236;Väestöään nopeasti menettävä
1343,9;Väestöään menettävä
1086,9;Kasvava
1155,4;Väestöään menettävä
1121,3;Nopeasti kasvava
1470,8;Väestöään nopeasti menettävä
1689,3;Väestöään nopeasti menettävä
1217,9;Väestöään nopeasti menettävä
1121,3;Kasvava
924,5;Nopeasti kasvava
1154,2;Väestöään menettävä
1455;Väestöään menettävä
1323,8;Väestöään nopeasti menettävä
1387,5;Väestöään menettävä
1169,7;Väestöään nopeasti menettävä
888,4;Väestöään menettävä
964,4;Nopeasti kasvava
1653,2;Väestöään nopeasti menettävä
1290,7;Väestöään menettävä
1249,4;Väestöään menettävä
1352,4;Väestöään menettävä
1174,4;Väestöään menettävä
1141,9;Väestöään menettävä
1414,9;Väestöään menettävä
1418,9;Väestöään menettävä
1338,7;Väestöään nopeasti menettävä
1494,3;Väestöään menettävä
1324,5;Väestöään menettävä
1217,8;Väestöään nopeasti menettävä
1493,7;Väestöään menettävä
1222,9;Kasvava
1021,8;Nopeasti kasvava
1339,7;Väestöään menettävä
1291,9;Väestöään menettävä
1153,1;Kasvava
1575,5;Väestöään nopeasti menettävä
1623,4;Väestöään nopeasti menettävä
1203,1;Kasvava
1377,4;Väestöään menettävä
1185,9;Väestöään menettävä
1201,7;Kasvava
1174,5;Väestöään menettävä
1031,8;Nopeasti taantuva
1084,4;Kasvava
1292,7;Kasvava
1157,2;Väestöään menettävä
1595,3;Väestöään menettävä
1461,3;Väestöään menettävä
1287,8;Väestöään menettävä
1228,3;Kasvava
1285,5;Väestöään nopeasti menettävä
1199,5;Kasvava
2227,2;Väestöään nopeasti menettävä
1523,8;Väestöään nopeasti menettävä
1222,8;Väestöään nopeasti menettävä
1365,8;Väestöään menettävä
1111,2;Väestöään menettävä
1580,3;Väestöään nopeasti menettävä
1146,7;Väestöään nopeasti menettävä
1340,3;Väestöään nopeasti menettävä
1438,2;Väestöään nopeasti menettävä
1345,8;Väestöään menettävä
1405;Kasvava
1189,5;Väestöään nopeasti menettävä
1013,2;Nopeasti kasvava
1338,8;Väestöään nopeasti menettävä
1276,8;Väestöään nopeasti menettävä
1388,7;Väestöään menettävä
1050,9;Väestöään menettävä
1750,7;Väestöään nopeasti menettävä
1490;Väestöään nopeasti menettävä
1146,9;Väestöään nopeasti menettävä
1486,2;Väestöään nopeasti menettävä
1963,4;Väestöään nopeasti menettävä
1532,5;Väestöään nopeasti menettävä
1521,7;Väestöään menettävä
1207,6;Väestöään nopeasti menettävä
1517,3;Väestöään nopeasti menettävä
1099,6;Kasvava
1414,7;Väestöään nopeasti menettävä
1442,8;Väestöään menettävä
1262;Väestöään menettävä
1149,6;Kasvava
1265,8;Väestöään menettävä
1214,1;Väestöään menettävä
1357,4;Väestöään nopeasti menettävä
1305,2;Väestöään nopeasti menettävä
1291,9;Väestöään menettävä
1510,6;Väestöään nopeasti menettävä
1731,7;Väestöään nopeasti menettävä
1449,8;Väestöään nopeasti menettävä
1303,3;Väestöään nopeasti menettävä
1246,2;Väestöään menettävä
2430,1;Väestöään nopeasti menettävä
1590,3;Kasvava
1335,6;Väestöään nopeasti menettävä
1512,7;Väestöään nopeasti menettävä
1065,7;Kasvava
1439,2;Väestöään nopeasti menettävä
1474,1;Väestöään menettävä
1055,4;Väestöään nopeasti menettävä
1869,1;Väestöään nopeasti menettävä
1360,8;Väestöään menettävä
1175,4;Väestöään menettävä
1439,8;Väestöään nopeasti menettävä
1749;Väestöään nopeasti menettävä
1397;Väestöään nopeasti menettävä
1332;Kasvava
1167,9;Väestöään menettävä
1300,4;Väestöään nopeasti menettävä
1245,8;Väestöään nopeasti menettävä
1334;Kasvava
1778,7;Väestöään nopeasti menettävä
1017,1;Nopeasti kasvava
1165,3;Väestöään menettävä
1393,3;Väestöään menettävä
1290,6;Väestöään nopeasti menettävä
1437,7;Väestöään menettävä
1359,2;Väestöään nopeasti menettävä
1686,4;Väestöään menettävä
1819,8;Väestöään nopeasti menettävä
1822,1;Väestöään nopeasti menettävä
1503,4;Väestöään menettävä
1568,6;Väestöään nopeasti menettävä
1243,9;Väestöään nopeasti menettävä
1850,1;Väestöään nopeasti menettävä
1380;Väestöään menettävä
1517,4;Väestöään nopeasti menettävä
1280,2;Väestöään menettävä
1420,7;Väestöään nopeasti menettävä
1613,7;Väestöään menettävä
1477,2;Väestöään nopeasti menettävä
1383,7;Nopeasti kasvava
1432,7;Väestöään nopeasti menettävä
1656,1;Väestöään nopeasti menettävä
1387,9;Väestöään nopeasti menettävä
1218,7;Väestöään nopeasti menettävä
1392,7;Väestöään nopeasti menettävä
1072,7;Väestöään menettävä
1497,3;Väestöään menettävä
1443,8;Kasvava
1692;Väestöään nopeasti menettävä
1702,5;Väestöään nopeasti menettävä
1102,3;Kasvava
1164;Kasvava
1376,9;Väestöään menettävä
1428,2;Väestöään nopeasti menettävä
1342;Väestöään nopeasti menettävä
1301,9;Väestöään menettävä
1099,9;Nopeasti kasvava
1014;Väestöään menettävä
1392,9;Kasvava
1311,1;Kasvava
1439,5;Kasvava
1172,2;Nopeasti taantuva
1477,1;Väestöään nopeasti menettävä
1695,4;Väestöään menettävä
1675,4;Väestöään nopeasti menettävä
1201,7;Väestöään menettävä
1238,2;Väestöään nopeasti menettävä
1200,8;Väestöään nopeasti menettävä
1139,8;Kasvava
1150,5;Väestöään nopeasti menettävä
1353,3;Väestöään nopeasti menettävä
1258,1;Väestöään nopeasti menettävä
1464,6;Väestöään nopeasti menettävä
1149,1;Väestöään menettävä
1674;Väestöään nopeasti menettävä
1212,3;Kasvava
999,4;Kasvava
1369,5;Väestöään nopeasti menettävä
1628,3;Väestöään nopeasti menettävä
1149,2;Väestöään nopeasti menettävä
